"actor_grad","actor_loss","altered_track","batch","batch_seconds","cost","critic_grad","critic_loss","explained_variance","goal_combined","goal_diff_rmse","goal_velocity_diff_rmse","joint_clip","penetration","penetration_depth","penetration_loss","pos_p95","pos_rmse","ppo_clip_rate","saturation","smooth","torque_util","validation_altered_track","validation_cost","validation_explained_variance","validation_goal_combined","validation_goal_diff_rmse","validation_goal_velocity_diff_rmse","validation_joint_clip","validation_penetration","validation_penetration_depth","validation_pos_p95","validation_pos_rmse","validation_saturation","validation_smooth","validation_torque_util","validation_vel_p95","validation_vel_rmse","validation_weighted_goal","validation_weighted_penetration","validation_weighted_pos","validation_weighted_sat","validation_weighted_smooth","validation_weighted_torque","validation_weighted_vel","vel_p95","vel_rmse","weighted_goal","weighted_penetration","weighted_pos","weighted_sat","weighted_smooth","weighted_torque","weighted_vel"
"4377.93139038086","80.4146236419678","0.57117223739624","1","50.4090805053711","1.49613058567047","1889.00032806396","12669.7273193359","-2.288818359375E-05","1.68556666374207","0.0173311289399862","0.0921067520976067","0.00654761819168925","0.523981273174286","0.00600342219695449","0","1.49932527542114","0.798172950744629","0.343216394633055","0.15507897734642","0.364463180303574","0.313169121742249",,,,,,,,,,,,,,,,,,,,,,,,"2.5111448764801","1.19102692604065","0","0","0.995834410190582","0","0.0670105740427971","0","0.433285593986511"
"1387.53459320068","54.5360297203064","0.564989030361176","2","49.3926429748535","1.47308003902435","2983.47279052734","9974.35362548828","0.00388282537460327","1.66875791549683","0.0171853750944138","0.0925896018743515","0.00684252567589283","0.53110259771347","0.00606065429747105","0","1.47598266601563","0.792170286178589","0.178418215364218","0.154884904623032","0.332708269357681","0.312754690647125",,,,,,,,,,,,,,,,,,,,,,,,"2.51332068443298","1.1878787279129","0","0","0.980912327766418","0","0.0611696019768715","0","0.430998086929321"
"1066.92092895508","32.727108001709","0.570574641227722","3","50.3704032897949","1.48810887336731","2352.87239379883","8932.93405761719","0.00379884243011475","1.68312013149261","0.0172222089022398","0.0935703590512276","0.00703524146229029","0.538788676261902","0.00612477771937847","0","1.49922180175781","0.797480583190918","0.17681521284394","0.155247181653976","0.358251482248306","0.313151955604553",,,,,,,,,,,,,,,,,,,,,,,,"2.50322675704956","1.18392407894135","0","0","0.99410742521286","0","0.0658682063221931","0","0.42813315987587"
"1222.76642074585","15.6989581108093","0.575587868690491","4","50.3693695068359","1.51654887199402","3466.61747741699","8414.95106201172","0.00683766603469849","1.76832187175751","0.0177117306739092","0.0949763506650925","0.00718356110155582","0.542412757873535","0.00642778864130378","0","1.51600682735443","0.806150674819946","0.17337532939855","0.156268760561943","0.375357359647751","0.314275830984116",,,,,,,,,,,,,,,,,,,,,,,,"2.5111837387085","1.18882787227631","0","0","1.0158406496048","0","0.0690212398767471","0","0.431687116622925"
"1026.57433547974","17.5335498809814","0.580202877521515","5","48.0741157531738","1.53913164138794","7934.63916625977","7820.16146240234","0.0985329151153564","1.78554344177246","0.0178720280528069","0.0942455157637596","0.00677134562283754","0.530942022800446","0.00627715978771448","0","1.5233428478241","0.81059056520462","0.185503601888195","0.158199951052666","0.381622433662415","0.316390872001648",,,,,,,,,,,,,,,,,,,,,,,,"2.53366494178772","1.20280933380127","0","0","1.02706074714661","0","0.0701701641082764","0","0.441900670528412"
"1140.96944046021","22.0432179927826","0.571074903011322","6","47.438549041748","1.50660467147827","8566.88748779297","6844.97796630859","0.236488163471222","1.80447971820831","0.0179626941680908","0.0948063582181931","0.00633983220905066","0.520379364490509","0.00605252850800753","0","1.51261067390442","0.802150011062622","0.209625847009011","0.15643210709095","0.358267962932587","0.31433030962944",,,,,,,,,,,,,,,,,,,,,,,,"2.51865434646606","1.19332659244537","0","0","1.0057829618454","0","0.0658613368868828","0","0.434960454702377"
"872.586016082764","21.0237378358841","0.564502835273743","7","46.5631790161133","1.47369706630707","10825.7164550781","6229.70994262695","0.311103045940399","1.84673273563385","0.018208222463727","0.0953180193901062","0.00658848322927952","0.525304436683655","0.00633284542709589","0","1.48280835151672","0.793060898780823","0.230759222153574","0.155028313398361","0.369038432836533","0.313230276107788",,,,,,,,,,,,,,,,,,,,,,,,"2.48662519454956","1.17643344402313","0","0","0.983119130134583","0","0.0678452178835869","0","0.42273274064064"
"743.121803283691","12.9886798381805","0.562828361988068","8","46.0046272277832","1.47343993186951","7738.63759155273","4946.13208007813","0.363807678222656","1.84586298465729","0.0182401146739721","0.0947031527757645","0.00642625149339437","0.521117746829987","0.00621206033974886","0","1.48340880870819","0.789299368858337","0.224934139382094","0.15515673160553","0.351233810186386","0.312710762023926",,,,,,,,,,,,,,,,,,,,,,,,"2.51771092414856","1.19345784187317","0","0","0.973815321922302","0","0.0645684823393822","0","0.435056179761887"
"730.328479003906","22.3323710441589","0.565248847007751","9","46.6008911132813","1.47628176212311","11315.7596801758","4397.88840332031","0.458425521850586","1.8643091917038","0.0183723717927933","0.0944921150803566","0.00661648903042078","0.521836340427399","0.00604384997859597","0","1.4924703836441","0.790847063064575","0.242859262507409","0.155975192785263","0.35162165760994","0.313580960035324",,,,,,,,,,,,,,,,,,,,,,,,"2.51571893692017","1.19201004505157","0","0","0.977638125419617","0","0.0646424070000648","0","0.434001266956329"
"722.78311920166","18.9514678001404","0.565929055213928","10","48.334285736084","1.47132730484009","11098.1414428711","4392.8237487793","0.473333477973938","1.91869342327118","0.0186449475586414","0.0957520008087158","0.00663543259724975","0.528761386871338","0.00639177300035954","0","1.48443865776062","0.792212307453156","0.260719107044861","0.155526533722878","0.344431102275848","0.313340842723846","0.0830086469650269","0.157033324241638","-0.409567356109619","0.0141548700630665","0.00175991526339203","0.00470777833834291","0.00310813030228019","0.159893438220024","0.000437097129179165","0.315966844558716","0.154245167970657","0.0394503884017467","0.0103649171069264","0.167559608817101","1.27912187576294","0.621638894081116","0","0","0.0371891483664513","0","0.00181006384082139","0","0.118034109473228","2.51157402992249","1.18233919143677","0","0","0.981016397476196","0","0.0633232519030571","0","0.426987677812576"
