cost,pos_rmse,pos_p95,vel_rmse,vel_p95,goal_diff_rmse,goal_velocity_diff_rmse,goal_combined,smooth,saturation,torque_util,penetration_depth,joint_clip,penetration,altered_track,explained_variance,weighted_pos,weighted_vel,weighted_goal,weighted_smooth,weighted_sat,weighted_torque,weighted_penetration,actor_loss,critic_loss,actor_grad,critic_grad,batch,batch_seconds
1.788342833518982,0.46475592255592346,1.0543774366378784,1.1800810098648071,2.447596311569214,0.02982182987034321,0.12179194390773773,2.531909227371216,536.83740234375,0.48663249611854553,0.6589446663856506,0.004024185240268707,0.057142630219459534,0.5569818019866943,0.2999105453491211,-4.7206878662109375e-05,0.06560249626636505,0.013442461378872395,0.19419948756694794,0.9821441769599915,0.0,0.5156973600387573,0.017256703227758408,47.98059337139129,2447.826408958435,2301.5338066101076,1033.3121628761292,1,35.15584249992389
1.7920218706130981,0.4634954333305359,1.0510907173156738,1.202500820159912,2.502126932144165,0.029801394790410995,0.12267550826072693,2.534961223602295,537.576904296875,0.48781150579452515,0.6602076888084412,0.003971641417592764,0.055744465440511703,0.5490666031837463,0.3028627336025238,-0.02096843719482422,0.06524713337421417,0.013958090916275978,0.19457320868968964,0.9845085740089417,0.0,0.5166858434677124,0.017048899084329605,18.35207576751709,1484.2838047027587,673.1916027069092,1463.313197040558,2,35.51085319998674
1.7910817861557007,0.4622521996498108,1.0569183826446533,1.1872148513793945,2.4523327350616455,0.02983790449798107,0.1217622458934784,2.533998727798462,538.124267578125,0.48661008477211,0.6589143872261047,0.004165052901953459,0.055641159415245056,0.5604523420333862,0.2988986074924469,-0.01567661762237549,0.0648975819349289,0.013605479151010513,0.19435375928878784,0.9846869111061096,0.0,0.5156736373901367,0.017864199355244637,4.836672788858413,1385.3450912475587,776.4420135498046,1641.550496673584,3,34.6334653000813
1.7883418798446655,0.46448802947998047,1.0584317445755005,1.203214168548584,2.5093483924865723,0.029732054099440575,0.12204886227846146,2.5208773612976074,536.9601440429688,0.48647016286849976,0.6587700843811035,0.00411590002477169,0.05656661093235016,0.5665106177330017,0.3000849485397339,-0.011844396591186523,0.06552689522504807,0.013974656350910664,0.1933056265115738,0.9823246598243713,0.0,0.5155607461929321,0.0176492091268301,2.0616947889328,1328.2542869567872,761.4214179992675,1670.9698234558105,4,34.56778350006789
1.7901252508163452,0.45199692249298096,1.0426440238952637,1.197766900062561,2.4860129356384277,0.029930507764220238,0.1223011165857315,2.5508370399475098,538.2582397460938,0.4869441092014313,0.6593495011329651,0.004145212937146425,0.05620143935084343,0.5576784014701843,0.2942573130130768,0.0007519721984863281,0.06204995512962341,0.013848408125340939,0.1956559270620346,0.9847805500030518,0.0,0.5160142183303833,0.0177763681858778,4.427177301049232,1300.7715240478515,801.3065017700195,1925.4858486175538,5,34.70719210000243
1.785601258277893,0.45450446009635925,1.035601258277893,1.1838741302490234,2.464864730834961,0.02990434318780899,0.12228963524103165,2.547023057937622,536.53759765625,0.4868761897087097,0.6593487858772278,0.00404462032020092,0.05689811334013939,0.5486752986907959,0.29097333550453186,0.09086251258850098,0.06274033337831497,0.013529020361602306,0.1952279657125473,0.9807606339454651,0.0,0.5160136222839355,0.017329581081867218,4.122772598266602,1110.1283584594726,752.3597068786621,3107.8194938659667,6,33.819023900083266
1.78550386428833,0.45417988300323486,1.019058346748352,1.1900627613067627,2.4744021892547607,0.02974092587828636,0.12169656157493591,2.5197670459747314,537.3811645507812,0.48618748784065247,0.6586313843727112,0.004059759899973869,0.056324224919080734,0.5633969902992249,0.2902814447879791,0.42659133672714233,0.06265076249837875,0.01367083378136158,0.1932303011417389,0.983091413974762,0.0,0.5154522061347961,0.01740841194987297,11.725288136303424,742.3235667228698,499.64903450012207,3030.685063171387,7,34.939141700044274
1.7915849685668945,0.4616880416870117,1.0518684387207031,1.1866859197616577,2.459073781967163,0.02983485907316208,0.12212957441806793,2.536036491394043,537.8607788085938,0.4867965281009674,0.6589308381080627,0.004377023782581091,0.056497178971767426,0.5693120956420898,0.2999074161052704,0.4838597774505615,0.06473926454782486,0.013593360781669617,0.19451329112052917,0.9842777848243713,0.0,0.515686571598053,0.018774747848510742,4.231978943943977,625.0963803291321,569.4341911315918,3486.1390075683594,8,35.636026600026526
1.7902079820632935,0.462113618850708,1.0729655027389526,1.186737060546875,2.4817111492156982,0.029877401888370514,0.12191619724035263,2.540663003921509,537.5934448242188,0.4864862561225891,0.6589370965957642,0.004056576639413834,0.05684862658381462,0.5618736743927002,0.2972820997238159,0.6892679929733276,0.06485867500305176,0.013594529591500759,0.19488166272640228,0.9837814569473267,0.0,0.5156914591789246,0.01740010268986225,8.218779516220092,427.63908867836,361.6758148193359,3601.1645416259767,9,35.86538810003549
1.7892417907714844,0.4578315019607544,1.0460907220840454,1.180061936378479,2.4547078609466553,0.029768191277980804,0.12202081084251404,2.525820016860962,537.8524780273438,0.48712316155433655,0.6594501733779907,0.0041832951828837395,0.055723026394844055,0.5700951218605042,0.2985128164291382,0.7596460580825806,0.06366223096847534,0.013442028313875198,0.1937585473060608,0.9843406081199646,0.0,0.5160930156707764,0.017945192754268646,6.453892387636006,341.5924728870392,271.86507377624514,3387.8035430908203,10,35.608602799940854
1.7930880784988403,0.4677497148513794,1.0508137941360474,1.1935442686080933,2.47283935546875,0.029772557318210602,0.12234260141849518,2.5286102294921875,537.8687133789062,0.4871838092803955,0.6595359444618225,0.004204831551760435,0.05651596561074257,0.5647858381271362,0.30446451902389526,0.7700425386428833,0.06645039469003677,0.013750935904681683,0.1940160095691681,0.9846677184104919,0.0,0.5161600708961487,0.018043026328086853,2.9757533580064774,381.4783092737198,282.8074375152588,5240.855992889405,11,36.45754129998386
