iteration,action_loss,weighted_action_loss,actual_final_position_mse,actual_final_velocity_mse,state_error_weight_mean,state_error_weight_min,state_error_weight_max,batch_time_seconds,batch_size,action_abs,step_limit,grad_norm,grad_clip_amount,grad_clip_fraction
4400,0.026549996808171272,0.025657154619693756,0.0008819731301628053,1.1262186765670776,1.0,1.0,1.0,0.23620299994945526,64.0,0.1010592704017957,1.609375,0.0,0.0,0.0
4600,0.0254727303981781,0.024318145588040352,0.0008582626469433308,1.354443907737732,1.0,1.0,1.0,0.23884820006787777,64.0,0.09910556674003601,1.46875,0.0,0.0,0.0
4800,0.026071932166814804,0.024804042652249336,0.0005526778404600918,0.8498402237892151,1.0,1.0,1.0,0.22004330018535256,64.0,0.1008693054318428,1.390625,0.0,0.0,0.0
5000,0.02498161606490612,0.024102473631501198,0.0007060448406264186,0.8485783934593201,1.0,1.0,1.0,0.2370937999803573,64.0,0.09822885692119598,1.40625,0.0,0.0,0.0
5200,0.024269727990031242,0.02380145713686943,0.000850259093567729,1.0711637735366821,1.0,1.0,1.0,0.232297700131312,64.0,0.09672097116708755,1.578125,0.0,0.0,0.0
5400,0.024672990664839745,0.023783262819051743,0.0006062841275706887,0.88597571849823,1.0,1.0,1.0,0.2176051998976618,64.0,0.09382675339778264,1.5,0.0,0.0,0.0
5600,0.025558579713106155,0.024433672428131104,0.0008640351006761193,0.9042519330978394,1.0,1.0,1.0,0.2446896000765264,64.0,0.09548725187778473,1.65625,0.0,0.0,0.0
5800,0.02534015290439129,0.02405809611082077,0.0008694326970726252,1.1117534637451172,1.0,1.0,1.0,0.23338879994116724,64.0,0.0968586802482605,1.609375,0.0,0.0,0.0
6000,0.023900017142295837,0.023379022255539894,0.0007747370982542634,1.2259023189544678,1.0,1.0,1.0,0.22263029986061156,64.0,0.09541182468334834,1.484375,0.0,0.0,0.0
6200,0.025643376633524895,0.024210479110479355,0.0009396883542649448,0.942169725894928,1.0,1.0,1.0,0.22855499992147088,64.0,0.10017273078362147,1.5625,0.0,0.0,0.0
6400,0.025003774091601372,0.023767221719026566,0.0008812577580101788,1.093330979347229,1.0,1.0,1.0,0.2299600001424551,64.0,0.10537121693293254,1.5625,0.0,0.0,0.0
6600,0.025661593303084373,0.024375393986701965,0.000892124546226114,0.9035994410514832,1.0,1.0,1.0,0.2511058999225497,64.0,0.10237593452135722,1.59375,0.0,0.0,0.0
6800,0.024618983268737793,0.023486215621232986,0.0007331866072490811,1.1394739151000977,1.0,1.0,1.0,0.22666440019384027,64.0,0.10199894259373347,1.5,0.0,0.0,0.0
7000,0.025256788358092308,0.023735452443361282,0.0008465449791401625,1.0890511274337769,1.0,1.0,1.0,0.22046600002795458,64.0,0.10166658461093903,1.5,0.0,0.0,0.0
7200,0.024858815595507622,0.023768233135342598,0.0008651081589050591,1.0999963283538818,1.0,1.0,1.0,0.24646029993891716,64.0,0.10271277527014415,1.609375,0.0,0.0,0.0
7400,0.024126682430505753,0.022928496822714806,0.0006435597315430641,0.8616935610771179,1.0,1.0,1.0,0.23646990000270307,64.0,0.10512295737862587,1.515625,0.0,0.0,0.0
7600,0.025464104488492012,0.02415330335497856,0.0009246398112736642,0.8582379817962646,1.0,1.0,1.0,0.2365270999725908,64.0,0.10436435540517171,1.625,0.0,0.0,0.0
7800,0.023860134184360504,0.02284838818013668,0.0006390309426933527,0.9680802822113037,1.0,1.0,1.0,0.23175929998978972,64.0,0.10467528055111568,1.5,0.0,0.0,0.0
